candidato,config,head,input_type,pooling,modelo_fusion,auc,auc_lo,auc_hi,ap,ap_lo,ap_hi,brier,ece,delta_vs_base,p_delong_vs_base
M_AB_gg__logreg_l1,M_AB_gg,logreg_l1,AB,gg,logreg,0.6525911402292255,0.5958694269037474,0.7037744228594022,0.15130372816607543,0.09328173372022781,0.23328285136174576,0.2353894466359008,0.4295059220321028,0.006780057279794249,0.6781506747292418
M_AB_gg__logreg_l1,M_AB_gg,logreg_l1,AB,gg,histgb,0.6114192955329198,0.5543491715091383,0.6642666961066053,0.13793104732210867,0.08197335405333454,0.21152256389769747,0.19559674790697923,0.35664941554361856,-0.034391787416511166,0.19541108987305877
M_AB_gg__logreg_l1,M_AB_gg,logreg_l1,AB,gg,mlp,0.5466128937985856,0.4906626079496705,0.6003463548190012,0.054828949999003035,0.0432872088942141,0.07604041308823721,0.047353263944387436,0.01107029709406197,-0.09919818915084555,0.002424051094872093
M_AB_gg__extratrees,M_AB_gg,extratrees,AB,gg,NINGUNO_base,0.6453620901280028,0.579979864102269,0.707360157498391,0.26488051982089805,0.18561778189820147,0.3511825937417929,0.04109259322285652,0.02107728326693176,0.0,
M_AB_gg__extratrees,M_AB_gg,extratrees,AB,gg,logreg,0.6575353747894517,0.5964047067650461,0.7128260517424834,0.2637197278627526,0.1821930679713345,0.3487897459048936,0.21777848983288442,0.41675402702494263,0.012173284661448847,0.3877725367537974
M_AB_gg__extratrees,M_AB_gg,extratrees,AB,gg,histgb,0.6543552303678553,0.5960849132414464,0.7162542195203396,0.24995382407283184,0.17262495958913185,0.33507623054691205,0.20971245879759334,0.3800358742174919,0.008993140239852426,0.7875230329877496
M_AB_gg__extratrees,M_AB_gg,extratrees,AB,gg,mlp,0.6715471389327254,0.6139887135065425,0.7318085156327375,0.2671037990162953,0.18719967139122284,0.3515084620849932,0.040458329021930695,0.007113991215825083,0.02618504880472272,0.0582768624418839
M_AB_gg__logreg_l2,M_AB_gg,logreg_l2,AB,gg,NINGUNO_base,0.6442861014139288,0.5864338309636098,0.6990621704980519,0.16060742009704917,0.10075721250911149,0.23392013831130334,0.10270150750875473,0.14820122261159124,0.0,
M_AB_gg__logreg_l2,M_AB_gg,logreg_l2,AB,gg,logreg,0.6482446771768181,0.5876877717289157,0.7036512552840197,0.14272890438379787,0.08842787380865251,0.2179504297805419,0.23402643792401345,0.427191222436877,0.0039585757628892715,0.8158185181870672
M_AB_gg__logreg_l2,M_AB_gg,logreg_l2,AB,gg,histgb,0.6044160702235399,0.5495556233237718,0.6625385714075089,0.11693366447918326,0.07259122248739627,0.1807418856927487,0.1990353885725718,0.3551993789123339,-0.0398700311903889,0.19485912614302636
M_AB_gg__logreg_l2,M_AB_gg,logreg_l2,AB,gg,mlp,0.5758425921497989,0.5206343695703384,0.6262844871579641,0.06328567884214419,0.048631956628422894,0.09087927797493921,0.04729044437408447,0.010338196571916342,-0.06844350926413012,0.01823599590543501
M_AB_gg__xgb,M_AB_gg,xgb,AB,gg,NINGUNO_base,0.6438211680189587,0.5808288035661436,0.6990799805119415,0.2753431524910536,0.18729388888666892,0.35733424790155166,0.15402545034885406,0.3325739236623049,0.0,
M_AB_gg__xgb,M_AB_gg,xgb,AB,gg,logreg,0.654384454752682,0.5960624256331216,0.7122901824250254,0.2678705635723148,0.1863640332331071,0.347950588515358,0.2270221283953744,0.42680777388233815,0.01056328673372331,0.508651423935766
M_AB_gg__xgb,M_AB_gg,xgb,AB,gg,histgb,0.6206515443759,0.5566031491490925,0.6792965436422774,0.21778031920510782,0.13650981655289002,0.29980820256414875,0.19637897909764662,0.3546823652652094,-0.023169623643058634,0.5254585038781951
M_AB_gg__xgb,M_AB_gg,xgb,AB,gg,mlp,0.4813017072354263,0.4196431837549771,0.5432003526226254,0.06071795793437204,0.04191174699742865,0.10415503841728353,0.047399017959833145,0.012242356376722455,-0.16251946078353224,0.00033463349471629655
M_A_22__mlp,M_A_22,mlp,A,22,NINGUNO_base,0.6421553780838367,0.5763570552840985,0.7030156226528466,0.2266049209799518,0.14258623477252266,0.3144610320509493,0.18969738483428955,0.36329098261892795,0.0,
M_A_22__mlp,M_A_22,mlp,A,22,logreg,0.6540311053725048,0.5890068335308049,0.7133384221152707,0.2343880409083616,0.15085710979514674,0.32354245250774266,0.21927759918663792,0.40894543103979125,0.011875727288667814,0.1519949698140941
M_A_22__mlp,M_A_22,mlp,A,22,histgb,0.6352929611740763,0.5749972736668074,0.695924480964642,0.20615975870085673,0.12522000291112262,0.2939735684802312,0.18447946190078976,0.3360389269980092,-0.006862416909760416,0.7640177681853206
M_A_22__mlp,M_A_22,mlp,A,22,mlp,0.5078826136164379,0.448069731261873,0.5725207478644048,0.05243120517452658,0.0405622782542039,0.07119128265893897,0.047550003975629807,0.015442649336531758,-0.1342727644673989,5.432040640585001e-05
M_A_22__lgbm,M_A_22,lgbm,A,22,NINGUNO_base,0.6415204119044203,0.5798915465221579,0.7052490520215199,0.28779621458728233,0.20156356763117603,0.371650301443732,0.04235329478979111,0.025568417210131884,0.0,
M_A_22__lgbm,M_A_22,lgbm,A,22,logreg,0.6580135919957066,0.6015889847158934,0.7202002491724796,0.2851485431663655,0.19853775090279466,0.36968161154790913,0.22292451242806208,0.42306689956749544,0.016493180091286308,0.21385296007555166
M_A_22__lgbm,M_A_22,lgbm,A,22,histgb,0.6465948278152382,0.5898627204528436,0.7082572296251706,0.2233079686730087,0.1414691454895786,0.31644421210028756,0.19813267614556912,0.36281206027542867,0.005074415910817809,0.8716379826741025
M_A_22__lgbm,M_A_22,lgbm,A,22,mlp,0.5849951381250698,0.5291329928498064,0.640581720358285,0.06449905964209152,0.050878772675537594,0.08751065300605268,0.04717852920293808,0.010755054295063017,-0.05652527377935046,0.011043551679895902
M_AB_22__mlp,M_AB_22,mlp,AB,22,NINGUNO_base,0.638637824855605,0.570713885161336,0.7015022239252275,0.24177158278792624,0.15999579821038176,0.3309504553940799,0.17680855095386505,0.349623223412782,0.0,
M_AB_22__mlp,M_AB_22,mlp,AB,22,logreg,0.6533031525140942,0.5854397242273728,0.7108248102307209,0.2524722333207285,0.16509800213783216,0.3376237792939997,0.2170655852112966,0.40778382414430603,0.014665327658489158,0.06731345195090532
